Problem                  N        Best S      Known       Diff Status
--------------------------------------------------------------------------------
10_3_in_3                10     3.500032   3.500000  +0.000032 matches_best_known
10_3_in_4                10     3.067187   2.377000  +0.690187 worse_than_best_known
10_3_in_5                10     3.066641   1.815000  +1.251641 worse_than_best_known
10_3_in_6                10     3.066942   1.497000  +1.569942 worse_than_best_known
10_3_in_circle           10     3.066754   1.384680  +1.682074 worse_than_best_known
10_4_in_3                10     4.461424   5.464000  -1.002576 NEW_BEST
10_5_in_5                10     3.683286   3.683200  +0.000086 matches_best_known
10_6_in_4                10     4.316875   6.104690  -1.787815 NEW_BEST
10_6_in_5                10     3.901713   4.558100  -0.656387 NEW_BEST
10_6_in_6                10     3.737036   3.732000  +0.005036 worse_than_best_known
10_6_in_8                10     3.586003   2.742400  +0.843603 worse_than_best_known
10_6_in_CIRCLE           10     3.493711   3.481720  +0.011991 worse_than_best_known
10_8_in_5                10     4.098514   6.281460  -2.182946 NEW_BEST
11_3_in_3                11     3.729641   3.722000  +0.007641 worse_than_best_known
11_3_in_4                11     3.217483   2.490000  +0.727483 worse_than_best_known
11_3_in_5                11     3.216723   1.871000  +1.345723 worse_than_best_known
11_3_in_circle           11     3.217852   1.466000  +1.751852 worse_than_best_known
11_4_in_3                11     5.025339   6.154000  -1.128661 NEW_BEST
11_6_in_4                11     4.478554   6.332180  -1.853626 NEW_BEST
11_6_in_5                11     6.641286   4.719600  +1.921686 worse_than_best_known
11_6_in_6                11     3.936270   3.925000  +0.011270 worse_than_best_known
11_6_in_8                11     3.749505   2.869700  +0.879805 worse_than_best_known
11_8_in_5                11     4.220770   6.465760  -2.244990 NEW_BEST
12_3_in_3                12     3.879900   3.879000  +0.000900 worse_than_best_known
12_3_in_4                12     3.359666   2.558000  +0.801666 worse_than_best_known
12_3_in_5                12     3.359666   1.973000  +1.386666 worse_than_best_known
12_3_in_6                12     3.359666   1.623000  +1.736666 worse_than_best_known
12_3_in_8                12     3.361786   1.199140  +2.162646 worse_than_best_known
12_3_in_CIRCLE           12     3.360469   1.507000  +1.853469 worse_than_best_known
12_4_in_3                12     5.151626   6.301000  -1.149374 NEW_BEST
12_4_in_5                12     3.573853   2.969000  +0.604853 worse_than_best_known
12_4_in_8                12     3.359666   1.753390  +1.606276 worse_than_best_known
12_4_in_CIRCLE           12     3.362629   2.236100  +1.126529 worse_than_best_known
12_5_in_3                12     5.559524   8.191200  -2.631676 NEW_BEST
12_5_in_4                12     4.349605   5.232210  -0.882605 NEW_BEST
12_5_in_6                12     3.779329   3.214600  +0.564729 worse_than_best_known
12_5_in_8                12     3.683700   2.393300  +1.290400 worse_than_best_known
12_5_in_CIRCLE           12     3.557770   3.018100  +0.539670 worse_than_best_known
12_6_in_4                12     4.516618   6.387000  -1.870382 NEW_BEST
12_6_in_6                12     3.941649   3.942000  -0.000351 NEW_BEST
12_8_in_5                12     4.374720   6.717630  -2.342910 NEW_BEST
13_3_in_3                13     3.998663   3.992000  +0.006663 worse_than_best_known
13_3_in_4                13     3.497842   2.595000  +0.902842 worse_than_best_known
13_3_in_5                13     3.497738   2.017000  +1.480738 worse_than_best_known
13_3_in_circle           13     3.510223   1.527000  +1.983223 worse_than_best_known
13_4_in_3                13     5.152226   6.309000  -1.156774 NEW_BEST
13_5_in_5                13     4.065254   4.065200  +0.000054 matches_best_known
13_6_in_3                13     5.941165  10.288600  -4.347435 NEW_BEST
13_6_in_4                13     4.777156   6.755490  -1.978334 NEW_BEST
13_6_in_5                13     4.339272   5.101100  -0.761828 NEW_BEST
13_6_in_8                13     4.014317   3.072000  +0.942317 worse_than_best_known
13_6_in_CIRCLE           13     3.831711   3.822890  +0.008821 worse_than_best_known
13_8_in_5                13     4.538606   6.970610  -2.432004 NEW_BEST
14_3_in_4                14     3.632932   2.726000  +0.906932 worse_than_best_known
14_3_in_5                14     3.628858   2.088000  +1.540858 worse_than_best_known
14_3_in_circle           14     3.649796   1.604480  +2.045316 worse_than_best_known
14_4_in_3                14     5.278245   6.464000  -1.185755 NEW_BEST
14_6_in_5                14     4.501994   5.292000  -0.790006 NEW_BEST
15_3_in_4                15     3.760854   2.829890  +0.930964 worse_than_best_known
15_3_in_5                15     3.758418   2.123000  +1.635418 worse_than_best_known
15_3_in_circle           15     3.771446   1.636000  +2.135446 worse_than_best_known
15_4_in_3                15     5.338750   6.464000  -1.125250 NEW_BEST
15_6_in_4                15     4.924292   6.963670  -2.039378 NEW_BEST
15_6_in_8                15     4.290941   3.283800  +1.007141 worse_than_best_known
16_3_in_4                16     3.888023   2.900000  +0.988023 worse_than_best_known
16_3_in_5                16     3.884505   2.175960  +1.708545 worse_than_best_known
16_3_in_circle           16     3.903031   1.687000  +2.216031 worse_than_best_known
16_4_in_3                16     5.844076   7.154000  -1.309924 NEW_BEST
16_6_in_4                16     5.176596   7.311000  -2.134404 NEW_BEST
17_3_in_3                17     4.500214   4.465000  +0.035214 worse_than_best_known
17_3_in_4                17     4.011713   2.982000  +1.029713 worse_than_best_known
17_3_in_5                17     4.004247   2.236560  +1.767687 worse_than_best_known
17_3_in_circle           17     4.023300   1.730000  +2.293300 worse_than_best_known
17_4_in_3                17     5.968446   7.301000  -1.332554 NEW_BEST
17_6_in_4                17     5.378779   7.603830  -2.225051 NEW_BEST
18_3_in_3                18     4.501187   4.500000  +0.001187 worse_than_best_known
18_3_in_4                18     4.122377   3.051000  +1.071377 worse_than_best_known
18_3_in_5                18     4.118707   2.293810  +1.824897 worse_than_best_known
18_3_in_circle           18     4.160854   1.801760  +2.359094 worse_than_best_known
18_4_in_3                18     6.032101   7.309000  -1.276899 NEW_BEST
18_6_in_4                18     5.465980   7.702000  -2.236020 NEW_BEST
19_3_in_3                19     4.808415   4.666000  +0.142415 worse_than_best_known
19_3_in_4                19     4.237239   3.129290  +1.107949 worse_than_best_known
19_3_in_5                19     4.241125   2.344000  +1.897125 worse_than_best_known
19_3_in_circle           19     4.279820   1.825000  +2.454820 worse_than_best_known
19_4_in_3                19     6.100305   7.464000  -1.363695 NEW_BEST
19_6_in_4                19     5.606917   7.924000  -2.317083 NEW_BEST
20_3_in_3                20     4.901987   4.861000  +0.040987 worse_than_best_known
20_3_in_4                20     4.355106   3.230500  +1.124606 worse_than_best_known
20_3_in_5                20     4.357035   2.433450  +1.923585 worse_than_best_known
20_3_in_circle           20     4.391963   1.874000  +2.517963 worse_than_best_known
20_4_in_3                20     6.221502   7.616950  -1.395448 NEW_BEST
20_6_in_4                20     5.635509   7.948000  -2.312491 NEW_BEST
21_3_in_3                21     4.933947   4.923000  +0.010947 worse_than_best_known
21_3_in_4                21     4.465703   3.311020  +1.154683 worse_than_best_known
21_3_in_5                21     4.475956   2.479000  +1.996956 worse_than_best_known
21_3_in_circle           21     4.509435   1.910000  +2.599435 worse_than_best_known
21_4_in_3                21     6.228449   7.618000  -1.389551 NEW_BEST
21_6_in_4                21     5.961256   8.381000  -2.419744 NEW_BEST
22_3_in_3                22     5.000068   4.996000  +0.004068 worse_than_best_known
22_3_in_4                22     4.575372   3.375700  +1.199672 worse_than_best_known
22_3_in_5                22     4.583878   2.567400  +2.016478 worse_than_best_known
22_3_in_circle           22     4.629514   1.943000  +2.686514 worse_than_best_known
22_4_in_3                22     6.658536   8.152590  -1.494054 NEW_BEST
22_6_in_4                22     6.065592   8.568000  -2.502408 NEW_BEST
23_3_in_4                23     4.683947   3.431100  +1.252847 worse_than_best_known
23_3_in_5                23     4.683113   2.618250  +2.064863 worse_than_best_known
23_3_in_circle           23     4.716309   1.984670  +2.731639 worse_than_best_known
23_4_in_3                23     6.874183   8.301000  -1.426817 NEW_BEST
23_6_in_4                23     6.123728   8.660000  -2.536272 NEW_BEST
24_3_in_4                24     4.812676   3.467800  +1.344876 worse_than_best_known
24_3_in_5                24     4.792987   2.666410  +2.126577 worse_than_best_known
24_4_in_3                24     6.912156   8.309000  -1.396844 NEW_BEST
24_6_in_4                24     6.220122   8.795000  -2.574878 NEW_BEST
25_3_in_4                25     4.902519   3.537000  +1.365519 worse_than_best_known
25_3_in_5                25     4.897836   2.718600  +2.179236 worse_than_best_known
25_3_in_circle           25     4.917265   2.055000  +2.862265 worse_than_best_known
25_4_in_3                25     6.991672   8.464000  -1.472328 NEW_BEST
25_6_in_4                25     6.423181   9.065000  -2.641819 NEW_BEST
26_3_in_3                26     5.446783   5.406000  +0.040783 worse_than_best_known
26_3_in_4                26     5.009384   3.575000  +1.434384 worse_than_best_known
26_3_in_5                26     4.993082   2.768650  +2.224432 worse_than_best_known
26_3_in_circle           26     5.011496   2.106650  +2.904846 worse_than_best_known
26_4_in_3                26     7.164715   8.618000  -1.453285 NEW_BEST
26_6_in_4                26     6.544868   9.220830  -2.675962 NEW_BEST
27_3_in_3                27     5.501566   5.500000  +0.001566 worse_than_best_known
27_3_in_4                27     5.093541   3.672600  +1.420941 worse_than_best_known
27_3_in_5                27     5.124066   2.817410  +2.306656 worse_than_best_known
27_3_in_circle           27     5.148142   2.138000  +3.010142 worse_than_best_known
27_4_in_3                27     7.169983   8.618000  -1.448017 NEW_BEST
27_6_in_4                27     6.690696   9.277330  -2.586634 NEW_BEST
28_3_in_4                28     5.215158   3.757070  +1.458088 worse_than_best_known
28_3_in_5                28     5.212910   2.866360  +2.346550 worse_than_best_known
28_3_in_circle           28     5.237622   2.188060  +3.049562 worse_than_best_known
28_4_in_3                28     7.167233   8.773000  -1.605767 NEW_BEST
29_3_in_3                29     5.750775   5.666000  +0.084775 worse_than_best_known
29_3_in_4                29     5.312553   3.817110  +1.495443 worse_than_best_known
29_3_in_5                29     5.299489   2.902400  +2.397089 worse_than_best_known
29_3_in_circle           29     5.335387   2.209350  +3.126037 worse_than_best_known
29_4_in_3                29     7.481443   9.154000  -1.672557 NEW_BEST
2_6_in_5                 2      2.097630   2.465900  -0.368270 NEW_BEST
2_8_in_5                 2      2.185004   3.356050  -1.171046 NEW_BEST
30_3_in_3                30     5.909525   5.750000  +0.159525 worse_than_best_known
30_3_in_4                30     5.401165   3.866190  +1.534975 worse_than_best_known
30_3_in_5                30     5.407501   2.950140  +2.457361 worse_than_best_known
30_3_in_circle           30     5.436450   2.251270  +3.185180 worse_than_best_known
30_4_in_3                30     7.606546   9.301000  -1.694454 NEW_BEST
31_3_in_3                31     5.952282   5.907660  +0.044622 worse_than_best_known
31_3_in_4                31     5.514216   3.931070  +1.583146 worse_than_best_known
31_3_in_5                31     5.496443   2.983660  +2.512783 worse_than_best_known
31_3_in_circle           31     5.519509   2.272000  +3.247509 worse_than_best_known
31_4_in_3                31     7.733954   9.309000  -1.575046 NEW_BEST
32_3_in_3                32     6.000045   5.945930  +0.054115 worse_than_best_known
32_3_in_4                32     5.596370   3.978800  +1.617570 worse_than_best_known
32_3_in_5                32     5.595682   3.026860  +2.568822 worse_than_best_known
32_4_in_3                32     7.887013   9.464000  -1.576987 NEW_BEST
33_3_in_3                33     6.000571   5.997590  +0.002981 worse_than_best_known
33_3_in_4                33     5.681496   4.051640  +1.629856 worse_than_best_known
33_3_in_5                33     5.696610   3.065830  +2.630780 worse_than_best_known
33_4_in_3                33     7.983705   9.618000  -1.634295 NEW_BEST
34_3_in_4                34     5.772912   4.090880  +1.682032 worse_than_best_known
34_3_in_5                34     5.777670   3.110730  +2.666940 worse_than_best_known
34_4_in_3                34     8.050212   9.618000  -1.567788 NEW_BEST
35_3_in_4                35     5.862129   4.141230  +1.720899 worse_than_best_known
35_3_in_5                35     5.869101   3.148430  +2.720671 worse_than_best_known
35_4_in_3                35     8.159959   9.773000  -1.613041 NEW_BEST
36_3_in_4                36     5.946391   4.207910  +1.738481 worse_than_best_known
36_3_in_5                36     5.970876   3.174730  +2.796146 worse_than_best_known
36_4_in_3                36     8.117069   9.773000  -1.655931 NEW_BEST
37_3_in_3                37     6.481809   6.333000  +0.148809 worse_than_best_known
37_3_in_4                37     6.041209   4.268800  +1.772409 worse_than_best_known
37_3_in_5                37     6.036979   3.211200  +2.825779 worse_than_best_known
