================================================================================
RECORD SUBMISSION: 19_DOMINO_in_CIRCLE
================================================================================
Problem: 19_DOMINO_in_CIRCLE
Family: domincir (https://erich-friedman.github.io/packing/domincir/index.html)
Inner Shape: DOMINO
Container: CIRCLE
Reported Side Length / Radius s (5 dec): 3.87882+
Exact Metric s: 3.878816717652
Previous Friedman Benchmark: 3.89340+ (exact: 3.893400000000)
Improvement Delta: -0.014583282348 (-0.375%)

Pieces (19 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -2.081157,  -2.288967) |   306.65 deg | [(-3.079202, -1.785075), (-1.885444, -3.389737), (-1.083113, -2.792858), (-2.276871, -1.188196)]
2   | ( -1.190301,  -1.811083) |   126.65 deg | [(-0.192257, -2.314975), (-1.386014, -0.710312), (-2.188346, -1.307190), (-0.994589, -2.911853)]
3   | ( -0.029704,  -2.819734) |    37.31 deg | [(-0.522073, -3.823513), (+1.068741, -2.611361), (+0.462665, -1.815955), (-1.128149, -3.028106)]
4   | ( +1.622328,  -1.587055) |   216.16 deg | [(+2.134724, -0.593350), (+0.519926, -1.773360), (+1.109931, -2.580760), (+2.724730, -1.400749)]
5   | ( +1.910554,  -2.626272) |    36.04 deg | [(+1.396037, -3.618881), (+3.013351, -2.442319), (+2.425070, -1.633663), (+0.807756, -2.810224)]
6   | ( -3.210558,  -0.489734) |    98.67 deg | [(-2.565481, -1.402902), (-2.867070, +0.574229), (-3.855635, +0.423434), (-3.554047, -1.553696)]
7   | ( -0.290877,  -0.506982) |    36.65 deg | [(-0.794768, -1.505028), (+0.809893, -0.311267), (+0.213013, +0.491063), (-1.391648, -0.702697)]
8   | ( +0.305982,  -1.309331) |   216.65 deg | [(+0.809875, -0.311287), (-0.794789, -1.505044), (-0.197910, -2.307376), (+1.406753, -1.113619)]
9   | ( +1.215112,  +0.014039) |   305.53 deg | [(+0.227035, +0.537207), (+1.389423, -1.090323), (+2.203188, -0.509129), (+1.040800, +1.118401)]
10  | ( +2.772693,  -0.462702) |   123.61 deg | [(+3.742636, -1.018769), (+2.635581, +0.646892), (+1.802750, +0.093365), (+2.909806, -1.572297)]
11  | ( -2.561485,  +1.001319) |   126.61 deg | [(-1.563760, +0.496796), (-2.756502, +2.102214), (-3.559211, +1.505842), (-2.366468, -0.099575)]
12  | ( -1.611748,  -0.243252) |   216.65 deg | [(-1.107858, +0.754793), (-2.712518, -0.438968), (-2.115638, -1.241298), (-0.510978, -0.047537)]
13  | ( -0.020340,  +1.004120) |   214.08 deg | [(+0.527694, +1.978624), (-1.128764, +0.857844), (-0.568374, +0.029615), (+1.088084, +1.150396)]
14  | ( +1.656858,  +1.201852) |   124.06 deg | [(+2.631185, +0.653503), (+1.510941, +2.310323), (+0.682531, +1.750201), (+1.802775, +0.093381)]
15  | ( +2.850415,  +1.226957) |   303.61 deg | [(+1.880473, +1.783026), (+2.987525, +0.117362), (+3.820357, +0.670888), (+2.713305, +2.336552)]
16  | ( -1.892296,  +2.615810) |   216.61 deg | [(-1.387772, +3.613536), (-2.993190, +2.420794), (-2.396819, +1.618085), (-0.791401, +2.810827)]
17  | ( -1.291835,  +1.807597) |    36.61 deg | [(-1.796358, +0.809871), (-0.190940, +2.002613), (-0.787311, +2.805322), (-2.392729, +1.612580)]
18  | ( -0.133695,  +2.763967) |   306.61 deg | [(-1.131421, +3.268490), (+0.061322, +1.663073), (+0.864030, +2.259444), (-0.328712, +3.864861)]
19  | ( +1.507500,  +2.876624) |   332.34 deg | [(+0.389669, +2.897928), (+2.161156, +1.969577), (+2.625331, +2.855320), (+0.853845, +3.783671)]
================================================================================
