================================================================================
RECORD SUBMISSION: 38_4_in_8
================================================================================
Problem: 38_4_in_8
Family: squinoct (https://erich-friedman.github.io/packing/squinoct/index.html)
Inner Shape: 4
Container: 8
Reported Side Length / Radius s (5 dec): 3.02061+
Exact Metric s: 3.020607490508
Previous Friedman Benchmark: 3.02113+ (exact: 3.021130000000)
Improvement Delta: -0.000522509492 (-0.017%)

Pieces (38 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( +0.449183,  +3.023790) |   247.50 deg | [(+0.066474, +2.099920), (+1.373052, +2.641081), (+0.831891, +3.947659), (-0.474687, +3.406498)]
2   | ( +0.157532,  +4.433711) |    67.50 deg | [(+0.540240, +5.357580), (-0.766337, +4.816419), (-0.225176, +3.509841), (+1.081402, +4.051003)]
3   | ( -0.041110,  -3.302164) |    67.50 deg | [(+0.341615, -2.378301), (-0.964972, -2.919440), (-0.423834, -4.226027), (+0.882753, -3.684888)]
4   | ( +3.346422,  -0.261226) |    67.41 deg | [(+3.730572, +0.662045), (+2.423151, +0.122924), (+2.962272, -1.184496), (+4.269693, -0.645376)]
5   | ( -1.299759,  +4.256420) |   337.50 deg | [(-0.375887, +3.873717), (-0.917056, +5.180292), (-2.223630, +4.639123), (-1.682461, +3.332548)]
6   | ( +2.283529,  +2.359951) |   247.41 deg | [(+1.899381, +1.436679), (+3.206801, +1.975802), (+2.667678, +3.283222), (+1.360258, +2.744099)]
7   | ( -3.932343,  -1.986090) |   247.50 deg | [(-4.315029, -2.909969), (-3.008464, -2.368777), (-3.549656, -1.062212), (-4.856221, -1.603404)]
8   | ( +4.647341,  +0.374150) |   157.65 deg | [(+3.722489, +0.754476), (+4.267015, -0.550702), (+5.572194, -0.006176), (+5.027667, +1.299003)]
9   | ( -1.292742,  -0.759087) |   157.50 deg | [(-2.216630, -0.376426), (-1.675403, -1.682976), (-0.368853, -1.141748), (-0.910081, +0.164802)]
10  | ( -4.368043,  +1.081424) |   292.50 deg | [(-3.985361, +0.157544), (-3.444163, +1.464106), (-4.750725, +2.005304), (-5.291923, +0.698742)]
11  | ( +0.404658,  -4.648291) |   157.49 deg | [(-0.519183, -4.265514), (+0.021881, -5.572132), (+1.328499, -5.031068), (+0.787435, -3.724450)]
12  | ( +0.135460,  +0.093357) |   157.20 deg | [(-0.786401, +0.480877), (-0.252060, -0.828504), (+1.057321, -0.294163), (+0.522980, +1.015219)]
13  | ( -3.151714,  -3.193478) |   247.50 deg | [(-3.534400, -4.117356), (-2.227835, -3.576164), (-2.769027, -2.269600), (-4.075592, -2.810792)]
14  | ( -2.613812,  +3.733296) |    67.50 deg | [(-2.231110, +4.657168), (-3.537684, +4.115998), (-2.996513, +2.809424), (-1.689940, +3.350594)]
15  | ( -1.887376,  -2.550198) |   157.50 deg | [(-2.811258, -2.167520), (-2.270054, -3.474080), (-0.963494, -2.932876), (-1.504698, -1.626316)]
16  | ( -2.658625,  -1.332865) |   157.23 deg | [(-3.580699, -0.945852), (-3.045639, -2.254939), (-1.736551, -1.719879), (-2.271612, -0.410791)]
17  | ( -0.585303,  -1.996839) |   337.50 deg | [(+0.338560, -2.379563), (-0.202578, -1.072976), (-1.509165, -1.614115), (-0.968027, -2.920702)]
18  | ( +1.537313,  +0.413029) |    67.50 deg | [(+1.920028, +1.336896), (+0.613446, +0.795745), (+1.154597, -0.510837), (+2.461179, +0.030314)]
19  | ( -2.929503,  +0.093480) |    67.52 deg | [(-2.547147, +1.017495), (-3.853518, +0.475836), (-3.311860, -0.830535), (-2.005488, -0.288877)]
20  | ( +1.206405,  -2.618394) |   157.50 deg | [(+0.282542, -2.235670), (+0.823681, -3.542256), (+2.130268, -3.001118), (+1.589129, -1.694531)]
21  | ( -1.003002,  +2.834171) |   337.50 deg | [(-0.079135, +2.451457), (-0.620288, +3.758038), (-1.926869, +3.216884), (-1.385715, +1.910303)]
22  | ( +1.876570,  +4.038685) |    22.50 deg | [(+2.800448, +4.421371), (+1.493884, +4.962564), (+0.952691, +3.655999), (+2.259255, +3.114807)]
23  | ( -3.826847,  +2.387992) |   202.50 deg | [(-4.750727, +2.005308), (-3.444163, +1.464113), (-2.902968, +2.770676), (-4.209531, +3.311871)]
24  | ( -1.369834,  -3.932406) |   332.89 deg | [(-0.479720, -4.388144), (-0.914095, -3.042292), (-2.259947, -3.476667), (-1.825573, -4.822519)]
25  | ( +0.661340,  -1.301729) |   337.36 deg | [(+1.584272, -1.686693), (+1.046304, -0.378798), (-0.261592, -0.916766), (+0.276376, -2.224661)]
26  | ( -2.164031,  +1.941496) |   337.50 deg | [(-1.240144, +1.558831), (-1.781367, +2.865383), (-3.087919, +2.324161), (-2.546696, +1.017609)]
27  | ( +1.006132,  +1.723744) |    67.50 deg | [(+1.388846, +2.647611), (+0.082265, +2.106459), (+0.623417, +0.799878), (+1.929998, +1.341029)]
28  | ( +2.032502,  -0.912592) |   247.50 deg | [(+1.649785, -1.836458), (+2.956367, -1.295309), (+2.415219, +0.011273), (+1.108636, -0.529875)]
29  | ( -4.525588,  -0.701081) |    67.50 deg | [(-4.142904, +0.222798), (-5.449467, -0.318396), (-4.908273, -1.624960), (-3.601710, -1.083766)]
30  | ( +3.022606,  -3.563967) |   337.50 deg | [(+3.946479, -3.946666), (+3.405305, -2.640094), (+2.098733, -3.181268), (+2.639907, -4.487840)]
31  | ( -1.622800,  +0.634941) |   157.50 deg | [(-2.546690, +1.017598), (-2.005457, -0.288949), (-0.698910, +0.252284), (-1.240143, +1.558831)]
32  | ( +4.097453,  +1.693293) |   337.55 deg | [(+5.021672, +1.311431), (+4.479314, +2.617512), (+3.173233, +2.075154), (+3.715591, +0.769073)]
33  | ( +2.572051,  -2.219843) |   157.50 deg | [(+1.648187, -1.837122), (+2.189330, -3.143707), (+3.495915, -2.602565), (+2.954772, -1.295979)]
34  | ( +3.555035,  +3.021334) |   157.76 deg | [(+2.629403, +3.399760), (+3.176609, +2.095702), (+4.480667, +2.642909), (+3.933460, +3.946966)]
