================================================================================
RECORD SUBMISSION: 15_DOMINO_in_8
================================================================================
Problem: 15_DOMINO_in_8
Family: dominoct (https://erich-friedman.github.io/packing/dominoct/index.html)
Inner Shape: DOMINO
Container: 8
Solver Circumradius S: 3.650461425624
Reported Metric s: 2.793942216148
Previous Friedman Benchmark: 2.804500000000
Improvement Delta: -0.010557783852 (-0.376%)

Pieces (15 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -2.003902,  -1.866188) |   312.08 deg | [(-3.045196, -1.459116), (-1.704782, -2.943465), (-0.962608, -2.273259), (-2.303021, -0.788910)]
2   | ( -0.390470,  -2.338068) |   292.40 deg | [(-1.233813, -1.604057), (-0.471672, -3.453150), (+0.452874, -3.072079), (-0.309267, -1.222987)]
3   | ( +0.673236,  -2.288182) |   112.52 deg | [(+1.518177, -3.020353), (+0.752008, -1.172926), (-0.171706, -1.556010), (+0.594463, -3.403437)]
4   | ( +1.598693,  -1.904935) |   112.52 deg | [(+2.443605, -2.637141), (+1.677511, -0.789683), (+0.753782, -1.172730), (+1.519876, -3.020188)]
5   | ( -2.507508,  -0.103381) |   331.31 deg | [(-3.624776, -0.061992), (-1.870259, -1.022029), (-1.390241, -0.144771), (-3.144757, +0.815266)]
6   | ( -0.950233,  -0.382478) |   241.54 deg | [(-0.913296, +0.734946), (-1.866334, -1.023382), (-0.987170, -1.499901), (-0.034131, +0.258427)]
7   | ( +0.609920,  -0.689702) |   202.57 deg | [(+1.341480, +0.155768), (-0.505393, -0.611736), (-0.121641, -1.535172), (+1.725232, -0.767668)]
8   | ( +2.802189,  -0.732629) |   247.57 deg | [(+2.721589, +0.382496), (+1.958448, -1.466183), (+2.882788, -1.847754), (+3.645929, +0.000926)]
9   | ( -2.093958,  +0.810560) |   331.32 deg | [(-3.211227, +0.851914), (-1.456680, -0.108067), (-0.976689, +0.769207), (-2.731237, +1.729187)]
10  | ( +0.029783,  +0.793492) |   151.54 deg | [(+1.147206, +0.756540), (-0.611109, +1.709603), (-1.087640, +0.830445), (+0.670675, -0.122618)]
11  | ( +1.812163,  +1.583721) |    33.77 deg | [(+1.258862, +0.612198), (+2.921362, +1.723995), (+2.365464, +2.555245), (+0.702963, +1.443448)]
12  | ( +2.215516,  +0.647877) |   213.64 deg | [(+2.770993, +1.618158), (+1.106005, +0.510090), (+1.660039, -0.322404), (+3.325027, +0.785664)]
13  | ( -1.729619,  +1.751246) |   331.32 deg | [(-2.846893, +1.792465), (-1.092229, +0.832696), (-0.612345, +1.710028), (-2.367008, +2.669797)]
14  | ( -0.350590,  +2.140446) |   331.46 deg | [(-1.467958, +2.179024), (+0.288969, +1.223405), (+0.766778, +2.101869), (-0.990149, +3.057488)]
15  | ( +0.739316,  +2.802380) |   337.47 deg | [(-0.375953, +2.723792), (+1.471347, +1.957317), (+1.854584, +2.880967), (+0.007284, +3.647442)]
================================================================================
