================================================================================
RECORD SUBMISSION: 24_DOMINO_in_5
================================================================================
Problem: 24_DOMINO_in_5
Family: dominpen (https://erich-friedman.github.io/packing/dominpen/index.html)
Inner Shape: DOMINO
Container: 5
Reported Side Length / Radius s (5 dec): 5.74545+
Exact Metric s: 5.745452843366
Previous Friedman Benchmark: 5.82279+ (exact: 5.822790000000)
Improvement Delta: -0.077337156634 (-1.328%)

Pieces (24 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -1.188990,  -3.245385) |   342.00 deg | [(-2.294554, -3.411898), (-0.392440, -4.029928), (-0.083425, -3.078871), (-1.985540, -2.460841)]
2   | ( -0.570381,  -2.394902) |   162.00 deg | [(+0.535186, -2.228406), (-1.366918, -1.610346), (-1.675948, -2.561398), (+0.226157, -3.179458)]
3   | ( +0.713537,  -3.863556) |   342.00 deg | [(-0.392028, -4.030068), (+1.510086, -4.648100), (+1.819102, -3.697043), (-0.083012, -3.079011)]
4   | ( +1.331750,  -3.012954) |   342.00 deg | [(+0.226187, -3.179475), (+2.128306, -3.797492), (+2.437314, -2.846432), (+0.535195, -2.228416)]
5   | ( +2.119668,  -2.025452) |   147.93 deg | [(+3.232555, -2.132610), (+1.537663, -1.070848), (+1.006781, -1.918294), (+2.701673, -2.980056)]
6   | ( -2.319396,  -1.510237) |   102.35 deg | [(-1.617080, -2.380152), (-2.044853, -0.426435), (-3.021712, -0.640321), (-2.593939, -2.594038)]
7   | ( -0.881419,  -0.862457) |   197.84 deg | [(-0.082680, -0.080142), (-1.986514, -0.692854), (-1.680158, -1.644771), (+0.223676, -1.032059)]
8   | ( -0.498332,  +0.836910) |   107.85 deg | [(+0.284099, +0.038285), (-0.328891, +1.942030), (-1.280763, +1.635534), (-0.667773, -0.268210)]
9   | ( +0.686382,  -1.226064) |   252.00 deg | [(+0.519885, -0.120496), (-0.098174, -2.022601), (+0.852878, -2.331631), (+1.470938, -0.429526)]
10  | ( +3.495366,  -1.058673) |    54.02 deg | [(+3.312559, -2.161660), (+4.487440, -0.543126), (+3.678173, +0.044315), (+2.503292, -1.574220)]
11  | ( -3.251652,  -1.927911) |   102.35 deg | [(-2.549342, -2.797831), (-2.977101, -0.844111), (-3.953961, -1.057991), (-3.526202, -3.011711)]
12  | ( -1.450259,  +0.530305) |   107.84 deg | [(-0.667875, -0.268366), (-1.280752, +1.635415), (-2.232643, +1.328976), (-1.619765, -0.574805)]
13  | ( +0.452014,  +1.148467) |   107.85 deg | [(+1.234446, +0.349843), (+0.621454, +2.253587), (-0.330418, +1.947092), (+0.282573, +0.043348)]
14  | ( +1.966468,  +0.456651) |    50.82 deg | [(+1.722373, -0.634411), (+2.985775, +0.916013), (+2.210562, +1.547714), (+0.947161, -0.002711)]
15  | ( +2.580671,  -0.449680) |   232.07 deg | [(+2.800969, +0.646435), (+1.571600, -0.931112), (+2.360374, -1.545796), (+3.589742, +0.031751)]
16  | ( -2.869726,  -0.094578) |   192.44 deg | [(-2.000905, +0.609090), (-3.953954, +0.178278), (-3.738548, -0.798247), (-1.785499, -0.367435)]
17  | ( -1.847608,  +1.979822) |   198.00 deg | [(-1.051062, +2.764371), (-2.953173, +2.146330), (-2.644153, +1.195274), (-0.742042, +1.813315)]
18  | ( -0.501866,  +2.942880) |   108.00 deg | [(+0.282692, +2.146345), (-0.335373, +4.048447), (-1.286425, +3.739415), (-0.668359, +1.837312)]
19  | ( +1.903937,  +1.945748) |   211.97 deg | [(+2.487606, +2.899337), (+0.790865, +1.840531), (+1.320268, +0.992160), (+3.017009, +2.050966)]
20  | ( +3.455477,  +1.120176) |   306.00 deg | [(+2.463181, +1.635295), (+3.638760, +0.017267), (+4.447774, +0.605057), (+3.272195, +2.223085)]
21  | ( -3.453964,  +1.399303) |    90.00 deg | [(-2.953962, +0.399303), (-2.953965, +2.399303), (-3.953965, +2.399302), (-3.953962, +0.399302)]
22  | ( -2.083007,  +2.954897) |    18.00 deg | [(-2.879555, +2.170352), (-0.977442, +2.788387), (-1.286460, +3.739443), (-3.188572, +3.121408)]
23  | ( +0.927147,  +3.693790) |   211.97 deg | [(+1.510795, +4.647390), (-0.185923, +3.588548), (+0.343498, +2.740189), (+2.040216, +3.799031)]
24  | ( +1.489357,  +2.865820) |    31.97 deg | [(+0.905700, +1.912224), (+2.602428, +2.971052), (+2.073014, +3.819415), (+0.376287, +2.760588)]
================================================================================
