Problem                  N    Best metric      Known       Diff Status
--------------------------------------------------------------------------------
10_3_in_3                10     3.500032   3.500000  +0.000032 matches_best_known
10_3_in_4                10     2.504348   2.377000  +0.127348 worse_than_best_known
10_3_in_5                10     2.081378   1.815000  +0.266378 worse_than_best_known
10_3_in_6                10     1.770700   1.497000  +0.273700 worse_than_best_known
10_3_in_circle           10     1.770591   1.384680  +0.385911 worse_than_best_known
10_4_in_3                10     5.464106   5.464000  +0.000106 worse_than_best_known
10_5_in_5                10     3.683286   3.683200  +0.000086 matches_best_known
10_6_in_4                10     6.104982   6.104690  +0.000292 worse_than_best_known
10_6_in_5                10     4.586738   4.558100  +0.028638 worse_than_best_known
10_6_in_6                10     3.737036   3.732000  +0.005036 worse_than_best_known
10_6_in_8                10     2.744608   2.742400  +0.002208 worse_than_best_known
10_6_in_CIRCLE           10     3.493711   3.481720  +0.011991 worse_than_best_known
10_8_in_5                10     6.295140   6.281460  +0.013680 worse_than_best_known
11_3_in_3                11     3.729641   3.722000  +0.007641 worse_than_best_known
11_3_in_4                11     2.627064   2.490000  +0.137064 worse_than_best_known
11_3_in_5                11     2.183118   1.871000  +0.312118 worse_than_best_known
11_3_in_circle           11     1.857828   1.466000  +0.391828 worse_than_best_known
11_4_in_3                11     6.154758   6.154000  +0.000758 worse_than_best_known
11_6_in_4                11     6.333631   6.332180  +0.001451 worse_than_best_known
11_6_in_6                11     3.927195   3.925000  +0.002195 worse_than_best_known
11_6_in_8                11     2.869747   2.869700  +0.000047 matches_best_known
11_8_in_5                11     6.482921   6.465760  +0.017161 worse_than_best_known
12_3_in_3                12     3.879900   3.879000  +0.000900 worse_than_best_known
12_3_in_4                12     2.743156   2.558000  +0.185156 worse_than_best_known
12_3_in_5                12     2.280259   1.973000  +0.307259 worse_than_best_known
12_3_in_6                12     1.939704   1.623000  +0.316704 worse_than_best_known
12_3_in_8                12     1.485522   1.199140  +0.286382 worse_than_best_known
12_3_in_CIRCLE           12     1.940168   1.507000  +0.433168 worse_than_best_known
12_4_in_3                12     6.309427   6.301000  +0.008427 worse_than_best_known
12_4_in_5                12     2.970779   2.969000  +0.001779 worse_than_best_known
12_4_in_8                12     1.818238   1.753390  +0.064848 worse_than_best_known
12_4_in_CIRCLE           12     2.377738   2.236100  +0.141638 worse_than_best_known
12_5_in_3                12     8.191239   8.191200  +0.000039 matches_best_known
12_5_in_4                12     5.232583   5.232210  +0.000373 worse_than_best_known
12_5_in_6                12     3.214889   3.214600  +0.000289 worse_than_best_known
12_5_in_8                12     2.398309   2.393300  +0.005009 worse_than_best_known
12_5_in_CIRCLE           12     3.026420   3.018100  +0.008320 worse_than_best_known
12_6_in_4                12     6.387463   6.387000  +0.000463 worse_than_best_known
12_6_in_6                12     3.941649   3.942000  -0.000351 NEW_BEST
12_8_in_5                12     6.719381   6.717630  +0.001751 worse_than_best_known
13_3_in_3                13     3.998663   3.992000  +0.006663 worse_than_best_known
13_3_in_4                13     2.855976   2.595000  +0.260976 worse_than_best_known
13_3_in_5                13     2.373565   2.017000  +0.356565 worse_than_best_known
13_3_in_circle           13     2.026628   1.527000  +0.499628 worse_than_best_known
13_4_in_3                13     6.310163   6.309000  +0.001163 worse_than_best_known
13_5_in_5                13     4.065254   4.065200  +0.000054 matches_best_known
13_6_in_3                13    10.290399  10.288600  +0.001799 worse_than_best_known
13_6_in_4                13     6.755919   6.755490  +0.000429 worse_than_best_known
13_6_in_5                13     5.101120   5.101100  +0.000020 matches_best_known
13_6_in_8                13     3.072126   3.072000  +0.000126 worse_than_best_known
13_6_in_CIRCLE           13     3.831711   3.822890  +0.008821 worse_than_best_known
13_8_in_5                13     6.971102   6.970610  +0.000492 worse_than_best_known
14_3_in_4                14     2.966276   2.726000  +0.240276 worse_than_best_known
14_3_in_5                14     2.462963   2.088000  +0.374963 worse_than_best_known
14_3_in_circle           14     2.107211   1.604480  +0.502731 worse_than_best_known
14_4_in_3                14     6.464206   6.464000  +0.000206 worse_than_best_known
14_6_in_5                14     5.292411   5.292000  +0.000411 worse_than_best_known
15_3_in_4                15     3.070724   2.829890  +0.240834 worse_than_best_known
15_3_in_5                15     2.550899   2.123000  +0.427899 worse_than_best_known
15_3_in_circle           15     2.177446   1.636000  +0.541446 worse_than_best_known
15_4_in_3                15     6.467496   6.464000  +0.003496 worse_than_best_known
15_6_in_4                15     6.963997   6.963670  +0.000327 worse_than_best_known
15_6_in_8                15     3.284144   3.283800  +0.000344 worse_than_best_known
16_3_in_4                16     3.174558   2.900000  +0.274558 worse_than_best_known
16_3_in_5                16     2.634098   2.175960  +0.458138 worse_than_best_known
16_3_in_circle           16     2.253416   1.687000  +0.566416 worse_than_best_known
16_4_in_3                16     7.154764   7.154000  +0.000764 worse_than_best_known
16_6_in_4                16     7.315018   7.311000  +0.004018 worse_than_best_known
17_3_in_3                17     4.500214   4.465000  +0.035214 worse_than_best_known
17_3_in_4                17     3.275550   2.982000  +0.293550 worse_than_best_known
17_3_in_5                17     2.714734   2.236560  +0.478174 worse_than_best_known
17_3_in_circle           17     2.322853   1.730000  +0.592853 worse_than_best_known
17_4_in_3                17     7.309824   7.301000  +0.008824 worse_than_best_known
17_6_in_4                17     7.605038   7.603830  +0.001208 worse_than_best_known
18_3_in_3                18     4.501187   4.500000  +0.001187 worse_than_best_known
18_3_in_4                18     3.365906   3.051000  +0.314906 worse_than_best_known
18_3_in_5                18     2.795432   2.293810  +0.501622 worse_than_best_known
18_3_in_circle           18     2.402270   1.801760  +0.600510 worse_than_best_known
18_4_in_3                18     7.387785   7.309000  +0.078785 worse_than_best_known
18_6_in_4                18     7.715875   7.702000  +0.013875 worse_than_best_known
19_3_in_3                19     4.808415   4.666000  +0.142415 worse_than_best_known
19_3_in_4                19     3.459691   3.129290  +0.330401 worse_than_best_known
19_3_in_5                19     2.875106   2.344000  +0.531106 worse_than_best_known
19_3_in_circle           19     2.470955   1.825000  +0.645955 worse_than_best_known
19_4_in_3                19     7.470690   7.464000  +0.006690 worse_than_best_known
19_6_in_4                19     7.929378   7.924000  +0.005378 worse_than_best_known
20_3_in_3                20     4.901987   4.861000  +0.040987 worse_than_best_known
20_3_in_4                20     3.549084   3.230500  +0.318584 worse_than_best_known
20_3_in_5                20     2.957189   2.433450  +0.523739 worse_than_best_known
20_3_in_circle           20     2.535701   1.874000  +0.661701 worse_than_best_known
20_4_in_3                20     7.618907   7.616950  +0.001957 worse_than_best_known
20_6_in_4                20     7.953493   7.948000  +0.005493 worse_than_best_known
21_3_in_3                21     4.933947   4.923000  +0.010947 worse_than_best_known
21_3_in_4                21     3.646231   3.311020  +0.335211 worse_than_best_known
21_3_in_5                21     3.028811   2.479000  +0.549811 worse_than_best_known
21_3_in_circle           21     2.603523   1.910000  +0.693523 worse_than_best_known
21_4_in_3                21     7.623675   7.618000  +0.005675 worse_than_best_known
21_6_in_4                21     8.388806   8.381000  +0.007806 worse_than_best_known
22_3_in_3                22     5.000068   4.996000  +0.004068 worse_than_best_known
22_3_in_4                22     3.735776   3.375700  +0.360076 worse_than_best_known
22_3_in_5                22     3.109569   2.567400  +0.542169 worse_than_best_known
22_3_in_circle           22     2.672851   1.943000  +0.729851 worse_than_best_known
22_4_in_3                22     8.154848   8.152590  +0.002258 worse_than_best_known
22_6_in_4                22     8.571859   8.568000  +0.003859 worse_than_best_known
23_3_in_4                23     3.824427   3.431100  +0.393327 worse_than_best_known
23_3_in_5                23     3.174309   2.618250  +0.556059 worse_than_best_known
23_3_in_circle           23     2.722962   1.984670  +0.738292 worse_than_best_known
23_4_in_3                23     8.315893   8.301000  +0.014893 worse_than_best_known
23_6_in_4                23     8.660258   8.660000  +0.000258 worse_than_best_known
24_3_in_4                24     3.906056   3.467800  +0.438256 worse_than_best_known
24_3_in_5                24     3.253077   2.666410  +0.586667 worse_than_best_known
24_4_in_3                24     8.465628   8.309000  +0.156628 worse_than_best_known
24_6_in_4                24     8.796581   8.795000  +0.001581 worse_than_best_known
25_3_in_4                25     4.002890   3.537000  +0.465890 worse_than_best_known
25_3_in_5                25     3.324239   2.718600  +0.605639 worse_than_best_known
25_3_in_circle           25     2.838984   2.055000  +0.783984 worse_than_best_known
25_4_in_3                25     8.545164   8.464000  +0.081164 worse_than_best_known
25_6_in_4                25     9.073586   9.065000  +0.008586 worse_than_best_known
26_3_in_3                26     5.446783   5.406000  +0.040783 worse_than_best_known
26_3_in_4                26     4.090145   3.575000  +0.515145 worse_than_best_known
26_3_in_5                26     3.388884   2.768650  +0.620234 worse_than_best_known
26_3_in_circle           26     2.893388   2.106650  +0.786738 worse_than_best_known
26_4_in_3                26     8.625701   8.618000  +0.007701 worse_than_best_known
26_6_in_4                26     9.230961   9.220830  +0.010131 worse_than_best_known
27_3_in_3                27     5.501566   5.500000  +0.001566 worse_than_best_known
27_3_in_4                27     4.158858   3.672600  +0.486258 worse_than_best_known
27_3_in_5                27     3.477261   2.817410  +0.659851 worse_than_best_known
27_3_in_circle           27     2.972281   2.138000  +0.834281 worse_than_best_known
27_4_in_3                27     8.710055   8.618000  +0.092055 worse_than_best_known
27_6_in_4                27     9.340448   9.277330  +0.063118 worse_than_best_known
28_3_in_4                28     4.251144   3.757070  +0.494074 worse_than_best_known
28_3_in_5                28     3.537554   2.866360  +0.671194 worse_than_best_known
28_3_in_circle           28     3.023943   2.188060  +0.835883 worse_than_best_known
28_4_in_3                28     8.778031   8.773000  +0.005031 worse_than_best_known
29_3_in_3                29     5.750775   5.666000  +0.084775 worse_than_best_known
29_3_in_4                29     4.319558   3.817110  +0.502448 worse_than_best_known
29_3_in_5                29     3.596847   2.902400  +0.694447 worse_than_best_known
29_3_in_circle           29     3.080387   2.209350  +0.871037 worse_than_best_known
29_4_in_3                29     9.155322   9.154000  +0.001322 worse_than_best_known
2_6_in_5                 2      2.465912   2.465900  +0.000012 matches_best_known
2_8_in_5                 2      3.356072   3.356050  +0.000022 matches_best_known
2_DOMINO_in_4            2      2.000000   2.000000  +0.000000 matches_best_known
2_L_in_6                 2      1.862143   1.861210  +0.000933 worse_than_best_known
30_3_in_3                30     5.909525   5.750000  +0.159525 worse_than_best_known
30_3_in_4                30     4.410033   3.866190  +0.543843 worse_than_best_known
30_3_in_5                30     3.670157   2.950140  +0.720017 worse_than_best_known
30_3_in_circle           30     3.138736   2.251270  +0.887466 worse_than_best_known
30_4_in_3                30     9.315449   9.301000  +0.014449 worse_than_best_known
31_3_in_3                31     5.952282   5.907660  +0.044622 worse_than_best_known
31_3_in_4                31     4.495776   3.931070  +0.564706 worse_than_best_known
31_3_in_5                31     3.730524   2.983660  +0.746864 worse_than_best_known
31_3_in_circle           31     3.186690   2.272000  +0.914690 worse_than_best_known
31_4_in_3                31     9.469128   9.309000  +0.160128 worse_than_best_known
32_3_in_3                32     6.000045   5.945930  +0.054115 worse_than_best_known
32_3_in_4                32     4.556799   3.978800  +0.577999 worse_than_best_known
32_3_in_5                32     3.797879   3.026860  +0.771019 worse_than_best_known
32_4_in_3                32     9.622120   9.464000  +0.158120 worse_than_best_known
33_3_in_3                33     6.000571   5.997590  +0.002981 worse_than_best_known
33_3_in_4                33     4.638922   4.051640  +0.587282 worse_than_best_known
33_3_in_5                33     3.860513   3.065830  +0.794683 worse_than_best_known
33_4_in_3                33     9.629780   9.618000  +0.011780 worse_than_best_known
34_3_in_4                34     4.702648   4.090880  +0.611768 worse_than_best_known
34_3_in_5                34     3.920429   3.110730  +0.809699 worse_than_best_known
34_4_in_3                34     9.781118   9.618000  +0.163118 worse_than_best_known
35_3_in_4                35     4.786408   4.141230  +0.645178 worse_than_best_known
35_3_in_5                35     3.983452   3.148430  +0.835022 worse_than_best_known
35_4_in_3                35     9.877529   9.773000  +0.104529 worse_than_best_known
36_3_in_4                36     4.855208   4.207910  +0.647298 worse_than_best_known
36_3_in_5                36     4.043938   3.174730  +0.869208 worse_than_best_known
36_4_in_3                36     9.932988   9.773000  +0.159988 worse_than_best_known
